Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,3.93,3.73,4.72,4.70,4.64,5.40,4.87,7.46,5.97,7.78,6.58,7.65,6.72
Expenses+,3.46,3.48,4.22,4.12,4.59,4.72,5.26,5.05,5.06,6.09,6.64,6.12,5.84
Operating Profit,0.47,0.25,0.50,0.58,0.05,0.68,-0.39,2.41,0.91,1.69,-0.06,1.53,0.88
OPM %,11.96%,6.70%,10.59%,12.34%,1.08%,12.59%,-8.01%,32.31%,15.24%,21.72%,-0.91%,20.00%,13.10%
Other Income+,0.38,0.62,0.17,0.41,0.76,-0.05,0.07,0.06,0.07,0.03,0.03,0.03,0.03
Interest,0.30,0.33,0.36,0.47,0.51,0.58,0.72,0.68,0.66,0.83,1.07,1.13,1.07
Depreciation,0.32,0.23,0.25,0.36,0.38,0.43,0.47,0.50,0.52,0.55,0.58,0.60,0.62
Profit before tax,0.23,0.31,0.06,0.16,-0.08,-0.38,-1.51,1.29,-0.20,0.34,-1.68,-0.17,-0.78
Tax %,43.48%,25.81%,33.33%,100.00%,-25.00%,18.42%,6.62%,9.30%,30.00%,35.29%,1.19%,0.00%,
Net Profit+,0.13,0.23,0.03,0.01,-0.05,-0.45,-1.61,1.18,-0.27,0.21,-1.70,-0.18,-0.78
EPS in Rs,0.11,0.20,0.03,0.01,-0.04,-0.38,-1.37,1.00,-0.23,0.18,-1.45,-0.14,-0.63
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
