Metric,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0.04,19.10,18.23,52.95,37.95,15.71,8.02,6.18,6.37,22.45,24.86,31.71,39.35
Expenses+,0.09,16.83,16.31,33.51,26.21,16.26,7.33,4.33,4.49,16.93,20.11,33.29,39.85
Operating Profit,-0.05,2.27,1.92,19.44,11.74,-0.55,0.69,1.85,1.88,5.52,4.75,-1.58,-0.50
OPM %,-125.00%,11.88%,10.53%,36.71%,30.94%,-3.50%,8.60%,29.94%,29.51%,24.59%,19.11%,-4.98%,-1.27%
Other Income+,0.00,-0.43,0.60,0.08,0.10,0.18,-31.33,-0.53,-0.01,0.27,0.98,5.91,6.56
Interest,0.00,0.09,0.18,0.35,0.20,0.18,0.25,0.20,0.18,0.39,0.32,0.88,1.31
Depreciation,0.10,1.18,0.36,0.21,0.42,0.54,0.33,1.09,1.08,1.51,1.60,1.78,1.93
Profit before tax,-0.15,0.57,1.98,18.96,11.22,-1.09,-31.22,0.03,0.61,3.89,3.81,1.67,2.82
Tax %,0.00%,75.44%,-0.51%,17.72%,6.68%,-5.50%,-0.10%,100.00%,-1.64%,2.57%,21.26%,58.08%,
Net Profit+,-0.15,0.13,1.99,15.60,10.48,-1.03,-31.19,0.00,0.62,3.78,3.00,0.69,1.36
EPS in Rs,-0.03,0.03,0.46,3.45,2.31,-0.23,-6.82,0.00,0.14,0.75,0.55,0.13,0.37
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,
