Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,19,9,92,91,100,230,225,205,347,466,500,578,590
Expenses+,22,27,92,88,90,197,210,178,287,411,427,475,491
Operating Profit,-3,-18,0,4,10,33,15,26,59,55,74,103,99
OPM %,-15%,-207%,0%,4%,10%,14%,7%,13%,17%,12%,15%,18%,17%
Other Income+,0,1,1,20,1,1,4,0,5,18,278,27,28
Interest,0,0,1,1,2,13,11,9,8,8,11,7,6
Depreciation,0,0,1,1,1,5,5,5,6,7,9,15,19
Profit before tax,-2,-18,-2,22,8,15,2,12,50,58,332,109,102
Tax %,-31%,0%,13%,3%,13%,-2%,-18%,24%,23%,23%,17%,26%,
Net Profit+,-2,-18,-2,21,7,16,3,9,39,45,274,81,77
EPS in Rs,-0.44,-3.88,-0.35,2.13,0.65,1.24,0.23,0.78,3.14,3.78,22.81,4.70,4.43
Dividend Payout %,0%,0%,0%,0%,15%,8%,0%,13%,5%,5%,1%,6%,
