Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,132,142,82,62,51,34,65,91,87,100,125,130
Expenses+,129,139,80,61,48,33,64,88,85,98,123,128
Operating Profit,4,3,2,2,3,1,1,2,2,2,2,2
OPM %,3%,2%,3%,3%,6%,3%,2%,3%,3%,2%,2%,1%
Other Income+,0,0,0,0,1,1,0,0,-0,1,2,2
Interest,3,2,2,1,1,1,1,1,1,1,1,1
Depreciation,0,0,0,0,0,0,1,1,1,1,1,1
Profit before tax,1,1,1,1,2,0,0,1,1,1,3,3
Tax %,14%,51%,39%,36%,27%,24%,-67%,37%,29%,20%,25%,
Net Profit+,1,0,0,0,2,0,0,1,1,1,2,2
EPS in Rs,0.58,0.35,0.20,0.27,0.99,0.13,0.08,0.30,0.32,0.45,1.13,1.19
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
