Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,029",954,"1,616","2,066","1,900","2,248","2,262"
Expenses+,614,601,"1,180","1,493","1,429","1,666","1,613"
Operating Profit,415,353,435,573,471,582,650
OPM %,40%,37%,27%,28%,25%,26%,29%
Other Income+,45,26,61,52,39,44,36
Interest,2,1,2,3,5,2,1
Depreciation,33,43,45,59,73,89,96
Profit before tax,425,335,449,563,432,536,589
Tax %,21%,20%,23%,26%,25%,24%,
Net Profit+,334,269,347,419,323,405,436
EPS in Rs,32.48,26.20,33.72,40.78,31.16,39.09,42.04
Dividend Payout %,17%,23%,19%,17%,22%,19%,
