Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,100,108,122,185,188,239,233,270,331,389,510,499,536
Expenses+,80,83,87,122,151,186,190,222,261,312,397,395,406
Operating Profit,20,25,35,63,37,53,43,48,70,78,113,104,131
OPM %,20%,23%,29%,34%,20%,22%,18%,18%,21%,20%,22%,21%,24%
Other Income+,1,2,1,2,1,4,5,2,2,2,1,5,6
Interest,14,6,4,10,15,32,30,28,21,26,26,40,50
Depreciation,1,1,1,1,1,2,2,2,2,2,2,2,2
Profit before tax,7,19,31,53,22,23,16,20,48,52,86,66,85
Tax %,60%,40%,33%,32%,34%,19%,29%,21%,15%,18%,20%,17%,
Net Profit+,3,11,21,36,15,18,11,16,41,43,69,55,69
EPS in Rs,0.32,2.46,4.63,7.97,3.05,3.15,1.33,2.71,10.04,10.37,16.82,13.28,16.48
Dividend Payout %,79%,12%,19%,13%,16%,16%,0%,0%,0%,5%,7%,11%,
