Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,276","1,431","1,689","2,025","2,148","2,382","2,394"
Expenses+,"1,193","1,350","1,584","1,881","1,997","2,217","2,229"
Operating Profit,83,81,106,144,151,166,165
OPM %,7%,6%,6%,7%,7%,7%,7%
Other Income+,5,-2,4,4,11,13,11
Interest,46,43,42,44,45,41,39
Depreciation,9,9,9,9,8,8,9
Profit before tax,33,28,58,96,109,130,128
Tax %,27%,25%,25%,25%,26%,23%,
Net Profit+,24,21,44,72,81,100,99
EPS in Rs,24.96,21.23,44.71,18.32,16.57,20.56,20.32
Dividend Payout %,0%,0%,0%,0%,0%,0%,
