Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,463,486,733,893,"1,073","1,262","1,395"
Expenses+,379,419,580,691,831,965,"1,070"
Operating Profit,84,67,153,201,242,297,325
OPM %,18%,14%,21%,23%,23%,24%,23%
Other Income+,0,4,4,8,22,29,38
Interest,26,39,44,42,26,11,24
Depreciation,26,31,36,39,42,57,74
Profit before tax,33,2,77,129,195,258,265
Tax %,10%,248%,34%,43%,10%,25%,
Net Profit+,30,-2,51,73,177,194,199
EPS in Rs,5.83,-0.45,10.05,12.90,26.94,29.51,30.27
Dividend Payout %,0%,0%,0%,0%,4%,3%,
