Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,139,138,146,142,164,188,191,201,207,203,204,227,241
Expenses+,117,113,119,116,131,153,156,165,170,174,169,183,195
Operating Profit,22,25,26,26,33,35,35,36,37,29,35,44,46
OPM %,16%,18%,18%,18%,20%,19%,18%,18%,18%,14%,17%,19%,19%
Other Income+,0,0,1,1,1,1,2,1,2,4,2,1,5
Interest,4,4,4,5,5,6,6,6,6,6,5,5,5
Depreciation,6,7,7,7,8,8,9,9,10,9,8,9,10
Profit before tax,13,14,16,16,22,22,21,23,24,18,24,30,36
Tax %,26%,15%,23%,25%,28%,31%,26%,30%,27%,31%,20%,24%,25%
Net Profit+,9,12,12,12,16,15,16,16,17,13,19,23,27
EPS in Rs,3.46,4.50,4.64,4.32,5.76,5.72,5.79,5.91,5.91,4.40,6.54,8.02,9.56
Raw PDF,,,,,,,,,,,,,
