Metric,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,0,0,0,0,0,0,14,"4,124","6,187","6,866","7,540"
Expenses+,42,6,278,663,"1,309",153,2,36,"4,083","5,558","6,614","7,710"
Operating Profit,-42,-6,-278,-663,"-1,309",-153,-2,-22,40,629,253,-170
OPM %,,,,,,,"-1,670%",-156%,1%,10%,4%,-2%
Other Income+,168,-155,0,0,0,2,2,579,-255,-46,10,9
Interest,4,0,0,0,0,1,0,2,49,114,94,86
Depreciation,1,0,0,0,0,0,0,1,10,17,16,15
Profit before tax,120,-161,-278,-663,"-1,308",-153,0,554,-273,453,152,-261
Tax %,30%,-0%,-0%,0%,0%,0%,0%,0%,5%,6%,47%,
Net Profit+,84,-161,-278,-663,"-1,308",-153,0,554,-286,424,81,-268
EPS in Rs,0.33,-1.17,-2.01,-4.80,-9.46,-1.11,0.00,4.01,-2.06,3.08,0.61,-1.91
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
