Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,870","1,799","2,158","2,432","2,761","2,595","2,782","3,684","4,462","3,792","4,221","4,528"
Expenses+,"1,681","1,563","1,886","2,144","2,408","2,226","2,334","3,284","3,894","3,330","3,737","4,044"
Operating Profit,190,236,271,288,353,369,449,401,568,462,484,484
OPM %,10%,13%,13%,12%,13%,14%,16%,11%,13%,12%,11%,11%
Other Income+,2,6,10,10,5,6,11,13,10,35,26,32
Interest,34,34,27,31,30,24,13,13,22,22,19,22
Depreciation,45,45,47,49,51,62,74,71,83,100,110,113
Profit before tax,112,163,207,219,277,289,372,329,473,375,380,381
Tax %,40%,37%,29%,28%,31%,20%,19%,20%,19%,20%,20%,
Net Profit+,67,103,148,158,191,230,302,263,381,301,305,305
EPS in Rs,19.03,28.97,41.64,44.57,53.87,64.99,85.22,74.12,107.46,85.03,86.00,85.93
Dividend Payout %,21%,31%,14%,16%,15%,22%,21%,24%,20%,26%,5%,
