Metric,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM
Sales+,67,125,87,116,124,97,94,80,126,127,133,164,172
Expenses+,50,78,74,87,114,100,95,83,112,112,115,140,140
Operating Profit,17,48,13,29,10,-3,-1,-3,14,14,17,24,32
OPM %,25%,38%,15%,25%,8%,-3%,-2%,-3%,11%,11%,13%,15%,19%
Other Income+,2,0,0,1,-8,-2,-1,0,0,1,0,0,3
Interest,3,8,6,3,6,6,5,3,3,8,6,9,20
Depreciation,3,4,5,6,8,8,8,6,6,4,3,2,2
Profit before tax,13,36,2,21,-12,-19,-15,-12,6,4,8,13,13
Tax %,35%,38%,41%,38%,-30%,-7%,0%,0%,-5%,17%,10%,21%,
Net Profit+,8,22,1,13,-8,-18,-15,-12,6,3,7,10,10
EPS in Rs,1.52,3.97,0.22,2.29,-1.52,-3.22,-2.76,-2.12,1.06,0.60,1.31,1.79,1.70
Dividend Payout %,26%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
