Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,137,191,251,369,111,34,101
Expenses+,112,191,435,205,133,167,341
Operating Profit,25,-0,-184,164,-22,-133,-240
OPM %,19%,-0%,-74%,44%,-20%,-395%,-236%
Other Income+,72,30,50,2,4,5,224
Interest,25,21,86,117,62,106,109
Depreciation,8,8,9,7,6,9,10
Profit before tax,65,1,-229,41,-86,-243,-134
Tax %,18%,-563%,1%,50%,-10%,-5%,
Net Profit+,53,6,-233,20,-77,-231,-146
EPS in Rs,,0.21,-7.89,0.69,-2.61,-7.84,-4.95
Dividend Payout %,0%,0%,0%,0%,0%,0%,
