Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,318,345,361,416,447,494,481,415,613,803,658,659,664
Expenses+,270,306,313,352,373,412,437,390,549,694,576,552,555
Operating Profit,49,39,47,64,74,82,44,25,64,109,82,107,108
OPM %,15%,11%,13%,15%,17%,17%,9%,6%,10%,14%,12%,16%,16%
Other Income+,2,1,1,1,4,1,2,1,1,2,3,4,5
Interest,14,10,7,8,8,8,7,6,6,5,4,4,5
Depreciation,12,10,10,11,12,13,14,14,14,15,15,17,17
Profit before tax,25,20,32,46,58,62,25,6,45,91,66,90,91
Tax %,40%,37%,39%,30%,35%,36%,-9%,19%,26%,25%,26%,26%,
Net Profit+,15,13,19,32,38,40,27,5,33,68,49,67,70
EPS in Rs,6.19,5.19,7.88,13.16,15.39,15.07,10.25,1.87,11.95,22.66,16.48,22.56,23.30
Dividend Payout %,18%,23%,17%,16%,13%,14%,0%,49%,15%,22%,30%,22%,
