Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,105,110,124,124,118,122,122,35,52,119,138,137
Expenses+,74,76,92,100,109,126,131,54,87,111,120,104
Operating Profit,30,34,32,25,9,-4,-8,-20,-34,9,18,33
OPM %,29%,31%,26%,20%,7%,-3%,-7%,-57%,-66%,7%,13%,24%
Other Income+,-123,-0,19,-4,-409,3,5,6,18,0,-2,4
Interest,24,26,27,28,23,2,1,1,1,0,1,5
Depreciation,15,14,13,9,10,11,10,10,9,9,14,12
Profit before tax,-132,-6,11,-16,-433,-14,-15,-24,-26,0,0,21
Tax %,-0%,0%,-0%,6%,2%,14%,11%,-16%,2%,111%,-724%,-280%
Net Profit+,-132,-7,11,-15,-443,-16,-17,-21,-26,-0,2,78
EPS in Rs,-18.34,-0.94,1.52,-2.02,-61.49,-2.19,-2.34,-2.85,-3.65,-0.01,0.22,11.54
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
