Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,159,191,228,284,398,518,586,504,411,443,399,474,562
Interest,60,77,98,125,167,238,303,248,209,227,218,258,286
Expenses+,62,79,94,112,148,147,188,186,417,107,157,153,257
Financing Profit,36,35,36,47,83,134,95,70,-215,109,24,62,20
Financing Margin %,23%,18%,16%,17%,21%,26%,16%,14%,-52%,25%,6%,13%,4%
Other Income+,-2,1,0,0,0,0,0,1,0,0,141,3,8
Depreciation,1,1,1,1,1,1,2,1,1,1,1,5,5
Profit before tax,34,34,35,46,82,133,93,70,-216,109,164,60,22
Tax %,34%,35%,36%,35%,35%,35%,35%,26%,-25%,28%,25%,24%,
Net Profit+,22,22,23,30,54,86,60,51,-162,79,123,46,17
EPS in Rs,16.21,16.27,16.68,21.96,32.64,52.35,36.77,31.29,-98.46,47.84,74.58,27.82,10.42
Dividend Payout %,25%,28%,30%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
