Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,5.99,4.70,5.87,1.97,10.55,18.07,29.37,29.32,48.25,42.10,31.90
Expenses+,4.50,4.07,4.83,4.73,5.87,12.60,17.15,18.84,32.19,31.52,24.10
Operating Profit,1.49,0.63,1.04,-2.76,4.68,5.47,12.22,10.48,16.06,10.58,7.80
OPM %,24.87%,13.40%,17.72%,-140.10%,44.36%,30.27%,41.61%,35.74%,33.28%,25.13%,24.45%
Other Income+,0.00,0.00,0.01,-0.56,0.02,0.01,0.05,0.10,0.01,0.00,0.04
Interest,0.25,0.07,0.12,0.18,0.47,0.36,0.65,0.76,2.34,1.99,1.11
Depreciation,0.15,0.11,0.10,0.28,0.32,0.24,0.75,1.12,2.04,1.48,1.37
Profit before tax,1.09,0.45,0.83,-3.78,3.91,4.88,10.87,8.70,11.69,7.11,5.36
Tax %,34.86%,22.22%,32.53%,-31.22%,32.23%,93.44%,20.42%,26.67%,22.58%,18.57%,
Net Profit+,0.70,0.36,0.57,-2.60,2.65,0.31,8.64,6.38,9.05,5.79,4.36
EPS in Rs,0.20,0.10,0.16,-0.74,0.76,0.09,2.47,1.82,2.59,1.65,1.24
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
