Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,485,386,424,516,568,579,568
Expenses+,432,322,311,358,392,430,434
Operating Profit,53,64,113,158,176,149,133
OPM %,11%,17%,27%,31%,31%,26%,23%
Other Income+,-2,-2,3,3,8,4,4
Interest,33,33,23,21,26,30,30
Depreciation,35,26,24,26,32,35,36
Profit before tax,-17,3,70,114,126,88,71
Tax %,-8%,5%,25%,26%,26%,21%,
Net Profit+,-16,3,52,84,93,70,58
EPS in Rs,-10.42,1.98,6.63,9.98,11.06,8.32,6.81
Dividend Payout %,0%,126%,36%,84%,77%,43%,
