Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,275","1,070",940,"1,028","1,312","1,261","1,085","1,086","1,998","2,132","2,083","2,050","1,945"
Expenses+,"1,192","1,032",842,871,"1,022","1,055","1,007",865,"1,557","1,946","2,032","2,001","1,954"
Operating Profit,83,38,98,158,290,206,78,221,441,186,51,49,-9
OPM %,7%,4%,10%,15%,22%,16%,7%,20%,22%,9%,2%,2%,-0%
Other Income+,3,8,5,4,7,12,21,7,12,30,19,21,20
Interest,49,35,23,17,13,12,17,21,20,31,42,49,58
Depreciation,23,18,25,36,31,36,44,50,57,56,63,61,69
Profit before tax,15,-7,55,109,253,169,38,157,375,129,-35,-41,-116
Tax %,20%,102%,41%,35%,33%,33%,39%,25%,25%,31%,12%,13%,
Net Profit+,12,-14,32,71,170,114,23,118,281,90,-39,-46,-111
EPS in Rs,1.16,-1.34,3.14,6.90,16.64,11.09,2.26,11.49,27.47,8.77,-3.79,-4.50,-10.85
Dividend Payout %,0%,-30%,51%,27%,12%,18%,0%,19%,9%,17%,-26%,0%,
