Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Revenue+,"19,336","19,639","20,061","21,009","22,391","23,572","24,141","24,717","25,722","26,798","29,265","28,539","28,890"
Interest,"11,413","12,129","12,637","13,670","14,313","14,827","15,154","15,521","16,008","16,562","16,584","17,204","17,314"
Expenses+,"1,316",900,-339,-65,-551,791,-589,310,366,429,"2,131",212,"1,514"
Financing Profit,"6,608","6,610","7,763","7,404","8,629","7,954","9,577","8,886","9,348","9,807","10,550","11,123","10,062"
Financing Margin %,34%,34%,39%,35%,39%,34%,40%,36%,36%,37%,36%,39%,35%
Other Income+,8,24,13,9,13,22,35,20,33,24,20,90,11
Depreciation,12,14,14,12,13,14,15,12,13,15,16,14,15
Profit before tax,"6,604","6,619","7,762","7,401","8,629","7,961","9,597","8,894","9,368","9,816","10,554","11,199","10,057"
Tax %,21%,21%,21%,19%,23%,21%,21%,19%,23%,21%,21%,20%,22%
Net Profit+,"5,229","5,241","6,129","5,982","6,628","6,294","7,556","7,182","7,215","7,760","8,358","8,981","7,834"
EPS in Rs,11.92,11.70,14.17,13.87,14.65,14.33,17.04,16.80,16.07,17.66,19.14,20.81,17.40
Gross NPA %,4.38%,3.91%,3.66%,3.54%,3.40%,3.13%,3.02%,2.97%,2.62%,2.30%,1.64%,1.47%,
Net NPA %,1.27%,1.15%,1.03%,1.00%,0.98%,0.86%,0.85%,0.84%,0.80%,0.73%,0.38%,0.31%,
Raw PDF,,,,,,,,,,,,,
