Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,264","1,304","1,490","1,488","1,802","1,692","2,011","1,885","1,941","1,889","2,356","2,297","2,081"
Expenses+,"1,166","1,250","1,372","1,310","1,581","1,477","1,733","1,640","1,664","1,658","2,027","1,974","1,719"
Operating Profit,98,54,118,177,221,215,279,245,277,232,329,323,363
OPM %,8%,4%,8%,12%,12%,13%,14%,13%,14%,12%,14%,14%,17%
Other Income+,12,5,246,11,9,4,18,15,9,20,418,25,26
Interest,20,17,18,18,16,14,14,9,5,4,7,0,0
Depreciation,61,60,63,63,67,68,68,69,69,71,72,70,71
Profit before tax,30,-18,284,107,147,137,214,182,211,177,668,278,317
Tax %,36%,-14%,48%,36%,36%,37%,35%,36%,36%,35%,35%,36%,-11%
Net Profit+,19,-16,147,69,94,85,140,116,135,115,435,176,351
EPS in Rs,14.61,-11.83,111.25,52.06,71.24,64.81,106.45,87.81,102.47,87.51,329.92,133.82,266.14
Raw PDF,,,,,,,,,,,,,
