Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,261,260,299,480,570,489,502,880,626,592,267,172
Expenses+,300,525,306,487,569,545,486,763,622,610,279,177
Operating Profit,-39,-265,-7,-7,1,-56,16,117,4,-17,-13,-4
OPM %,-15%,-102%,-2%,-1%,0%,-11%,3%,13%,1%,-3%,-5%,-3%
Other Income+,-36,496,82,142,7,93,41,6,3,12,1,0
Interest,70,23,14,0,0,0,2,2,3,4,4,4
Depreciation,39,18,14,14,13,13,13,11,9,9,9,9
Profit before tax,-184,189,47,121,-6,24,42,109,-5,-19,-25,-17
Tax %,-27%,34%,22%,70%,-232%,120%,231%,25%,-29%,-1%,-22%,
Net Profit+,-140,121,36,36,8,-5,-56,82,-3,-19,-20,-19
EPS in Rs,-70.95,61.09,18.43,17.99,3.80,-2.35,-28.19,41.47,-1.62,-9.42,-9.97,-9.49
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
