Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,90,90,114,87,103,103,92,132,110,140,159,186,209
Expenses+,87,90,107,85,99,106,97,128,120,138,148,182,202
Operating Profit,3,0,7,2,3,-3,-6,3,-9,2,11,3,6
OPM %,3%,0%,6%,2%,3%,-3%,-6%,3%,-9%,1%,7%,2%,3%
Other Income+,2,4,2,2,5,2,-4,2,1,8,1,1,1
Interest,1,2,2,3,3,3,4,5,5,5,6,5,5
Depreciation,1,1,1,1,1,1,2,2,2,2,2,3,3
Profit before tax,2,1,6,0,5,-4,-16,-2,-15,2,4,-5,0
Tax %,-3%,13%,3%,-63%,11%,-2%,-1%,-11%,0%,11%,-3%,-19%,
Net Profit+,2,1,6,0,4,-4,-15,-2,-16,2,4,-4,0
EPS in Rs,3.92,1.40,6.27,0.48,4.85,-3.32,-23.19,-2.56,-21.15,3.95,4.66,-3.07,0.03
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
