Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,133.41,76.56,42.49,36.60,34.31,40.40,37.33,34.06,34.62,34.91,36.70,36.54,35.67
Expenses+,146.86,77.45,47.21,44.18,35.58,37.01,39.59,28.44,28.88,29.33,29.31,31.45,31.79
Operating Profit,-13.45,-0.89,-4.72,-7.58,-1.27,3.39,-2.26,5.62,5.74,5.58,7.39,5.09,3.88
OPM %,-10.08%,-1.16%,-11.11%,-20.71%,-3.70%,8.39%,-6.05%,16.50%,16.58%,15.98%,20.14%,13.93%,10.88%
Other Income+,4.80,6.33,10.89,10.21,6.55,2.25,0.35,-10.26,0.80,2.54,-9.52,8.17,8.56
Interest,1.20,1.20,5.04,0.67,0.38,1.05,2.88,2.32,2.29,1.74,6.35,5.27,5.22
Depreciation,47.66,48.48,46.57,46.92,62.21,169.48,18.20,4.62,3.86,4.20,3.61,2.96,3.15
Profit before tax,-57.51,-44.24,-45.44,-44.96,-57.31,-164.89,-22.99,-11.58,0.39,2.18,-12.09,5.03,4.07
Tax %,0.30%,1.63%,1.12%,1.22%,1.83%,0.50%,3.57%,6.48%,115.38%,33.49%,-0.33%,25.65%,
Net Profit+,-57.68,-44.96,-45.95,-45.50,-58.36,-165.71,-23.80,-12.32,-0.05,1.46,-12.05,3.73,2.80
EPS in Rs,-0.35,-0.27,-0.28,-0.27,-0.34,-0.97,-0.14,-0.07,-0.00,0.01,-0.07,0.02,0.02
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
