Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,46.20,126.52,344.38,271.96,618.04,520.69,811.56,422.16,533.07,464.02,584.85,273.12,499.28
Expenses+,54.36,119.18,247.43,208.60,632.46,512.17,761.70,380.72,455.29,426.51,537.22,261.45,484.30
Operating Profit,-8.16,7.34,96.95,63.36,-14.42,8.52,49.86,41.44,77.78,37.51,47.63,11.67,14.98
OPM %,-17.66%,5.80%,28.15%,23.30%,-2.33%,1.64%,6.14%,9.82%,14.59%,8.08%,8.14%,4.27%,3.00%
Other Income+,9.52,9.03,22.10,11.27,24.79,33.88,14.59,15.04,23.15,21.80,57.35,15.52,21.62
Interest,4.83,5.78,22.08,6.51,6.74,7.12,19.71,16.78,10.03,11.96,12.71,7.16,15.72
Depreciation,0.87,1.12,1.83,1.43,1.63,1.65,2.60,2.40,2.53,2.66,5.65,4.18,3.99
Profit before tax,-4.34,9.47,95.14,66.69,2.00,33.63,42.14,37.30,88.37,44.69,86.62,15.85,16.89
Tax %,5.53%,38.54%,22.18%,30.26%,-108.50%,11.15%,27.69%,31.23%,25.82%,32.92%,22.71%,-3.03%,41.44%
Net Profit+,-4.58,5.82,74.04,46.51,4.17,29.88,30.47,25.65,65.55,29.98,66.95,16.33,9.89
EPS in Rs,-0.48,0.47,6.73,4.12,0.38,2.65,2.69,2.05,5.26,1.20,5.14,1.15,0.68
Raw PDF,,,,,,,,,,,,,
