Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,423","1,826","2,012","2,184","2,604","3,193","3,489","3,642","3,747"
Expenses+,949,"1,289","1,394","1,507","1,806","2,251","2,472","2,598","2,714"
Operating Profit,474,537,618,678,798,942,"1,017","1,045","1,033"
OPM %,33%,29%,31%,31%,31%,30%,29%,29%,28%
Other Income+,53,75,153,94,20,63,77,101,70
Interest,23,32,35,28,24,45,47,53,53
Depreciation,131,164,219,274,310,366,426,433,442
Profit before tax,372,415,517,469,484,594,621,660,608
Tax %,18%,20%,20%,14%,18%,22%,18%,25%,
Net Profit+,305,332,412,405,396,464,510,496,468
EPS in Rs,7.64,8.29,10.30,10.12,9.88,11.57,12.69,12.33,11.63
Dividend Payout %,7%,3%,0%,0%,10%,11%,10%,10%,
