Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,766,835,950,917,"1,022","1,260","1,386","1,639","1,653","1,692"
Expenses+,667,729,841,825,865,"1,117","1,233","1,485","1,524","1,574"
Operating Profit,99,106,109,92,157,143,153,155,129,119
OPM %,13%,13%,12%,10%,15%,11%,11%,9%,8%,7%
Other Income+,4,4,4,-10,19,16,13,18,17,13
Interest,5,4,4,4,3,3,5,11,14,16
Depreciation,44,44,46,48,49,51,56,64,73,75
Profit before tax,55,63,64,30,124,104,106,98,60,41
Tax %,8%,25%,21%,35%,47%,25%,25%,17%,28%,
Net Profit+,50,47,50,19,66,77,79,82,43,29
EPS in Rs,86.16,6.54,7.00,2.70,9.10,10.75,10.99,11.33,5.96,4.05
Dividend Payout %,1%,15%,18%,46%,55%,33%,32%,31%,59%,
