Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0.00,0.04,0.03,12.04,0.62,-0.11,0.55
Expenses+,2.28,6.34,3.01,9.56,9.53,7.45,8.22
Operating Profit,-2.28,-6.30,-2.98,2.48,-8.91,-7.56,-7.67
OPM %,,"-15,750.00%","-9,933.33%",20.60%,"-1,437.10%","-1,326.32%","-1,394.55%"
Other Income+,-14.51,3.81,4.73,4.67,9.24,6.63,6.40
Interest,0.00,0.02,0.24,0.43,0.27,0.24,0.24
Depreciation,2.18,2.13,1.67,2.17,2.17,2.15,2.16
Profit before tax,-18.97,-4.64,-0.16,4.55,-2.11,-3.32,-3.67
Tax %,33.16%,1.94%,-87.50%,-35.38%,1.90%,-23.80%,
Net Profit+,-25.25,-4.73,-0.02,6.17,-2.15,-2.54,-2.64
EPS in Rs,,-0.77,-0.00,1.01,-0.35,-0.41,-0.43
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
