Metric,Mar 20128m,Mar 2013,Mar 2014,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,18,25,53,62,60,87,110,112,120,144,155
Expenses+,0,17,21,44,50,47,70,89,92,94,116,129
Operating Profit,0,1,3,9,11,14,17,21,19,26,28,26
OPM %,,6%,13%,17%,18%,23%,19%,19%,17%,22%,19%,17%
Other Income+,0,0,0,0,0,0,0,0,0,0,0,0
Interest,0,0,2,2,2,3,3,2,3,4,4,3
Depreciation,0,0,1,2,2,5,5,6,5,6,6,5
Profit before tax,0,1,1,5,7,6,9,14,11,16,18,18
Tax %,,30%,30%,30%,29%,29%,26%,25%,26%,26%,26%,
Net Profit+,0,1,1,3,5,4,7,10,8,12,13,14
EPS in Rs,,0.05,0.06,0.29,0.27,0.21,0.34,0.53,0.43,0.64,0.69,0.72
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
