Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,157,180,203,243,261,242,231,448,538,579,692,762
Expenses+,144,161,182,213,231,215,205,406,503,532,628,702
Operating Profit,13,19,21,30,29,27,26,42,35,46,64,61
OPM %,9%,11%,10%,12%,11%,11%,11%,9%,7%,8%,9%,8%
Other Income+,0,1,5,1,6,3,3,5,3,9,7,-9
Interest,6,7,4,4,3,2,2,4,4,7,10,12
Depreciation,2,2,2,2,2,3,5,6,7,8,10,11
Profit before tax,6,12,20,24,30,24,22,37,27,40,51,29
Tax %,37%,34%,28%,37%,26%,24%,22%,22%,22%,21%,24%,
Net Profit+,4,9,17,19,23,19,17,29,21,32,39,23
EPS in Rs,3.12,7.16,13.88,10.18,8.90,7.31,6.87,11.41,8.39,12.46,15.31,9.18
Dividend Payout %,0%,0%,0%,0%,0%,0%,15%,9%,12%,12%,10%,
