Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,671","1,613","1,775","2,294","2,872","2,776","2,523","2,454"
Expenses+,"1,546","1,525","1,632","2,118","2,627","2,514","2,380","2,305"
Operating Profit,124,88,143,176,246,263,143,149
OPM %,7%,5%,8%,8%,9%,9%,6%,6%
Other Income+,9,24,18,129,36,15,12,-41
Interest,29,33,29,20,77,93,89,83
Depreciation,20,46,39,39,101,119,123,122
Profit before tax,85,33,92,245,103,66,-57,-97
Tax %,36%,30%,41%,17%,35%,45%,-12%,
Net Profit+,55,23,55,202,58,28,-68,-93
EPS in Rs,,2.76,6.56,24.12,6.83,3.08,-8.16,-11.16
Dividend Payout %,0%,5%,4%,2%,6%,11%,0%,
