Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,931","1,827","1,734","2,157","1,957","1,919","1,769","2,133","1,951","1,922","1,817","2,162","1,954"
Expenses+,"1,732","1,631","1,565","1,825","1,683","1,675","1,590","1,803","1,739","1,687","1,651","1,859","1,739"
Operating Profit,199,195,168,332,273,244,179,330,212,235,166,303,215
OPM %,10%,11%,10%,15%,14%,13%,10%,15%,11%,12%,9%,14%,11%
Other Income+,4,7,10,678,22,20,33,34,27,671,37,53,28
Interest,6,7,7,7,8,7,7,7,7,9,8,7,8
Depreciation,45,46,46,47,47,48,48,48,49,53,52,53,54
Profit before tax,152,149,125,956,240,208,157,308,183,844,144,295,182
Tax %,27%,27%,23%,23%,27%,27%,27%,27%,34%,22%,29%,27%,27%
Net Profit+,111,109,96,734,175,152,114,225,120,662,102,216,133
EPS in Rs,1.40,1.36,1.16,9.13,2.19,1.91,1.44,2.86,1.52,8.42,1.34,2.73,1.67
Raw PDF,,,,,,,,,,,,,
