Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,65,78,76,83,90,101,105,49,54,85,49,57,68
Expenses+,55,68,55,54,59,64,61,42,24,70,7,8,19
Operating Profit,10,10,21,29,31,36,44,7,30,15,42,48,50
OPM %,15%,13%,27%,35%,34%,36%,42%,14%,55%,18%,86%,85%,73%
Other Income+,13,5,11,12,11,7,5,8,5,6,18,10,10
Interest,5,5,5,6,7,6,7,5,3,2,3,4,4
Depreciation,5,5,5,5,5,4,4,4,4,4,3,3,3
Profit before tax,12,4,22,30,30,32,38,6,27,15,54,52,53
Tax %,23%,-19%,34%,30%,26%,24%,28%,98%,17%,20%,19%,26%,
Net Profit+,9,5,14,21,22,24,27,0,23,12,43,38,41
EPS in Rs,5.40,3.22,7.99,11.58,12.19,13.26,14.94,0.08,12.47,6.57,23.88,20.95,22.34
Dividend Payout %,0%,31%,0%,0%,0%,0%,20%,"1,299%",8%,15%,13%,14%,
