Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,190,174,168,180,236,255,231,187,322,372,375,431,434
Expenses+,183,166,159,170,225,239,215,172,304,350,352,405,407
Operating Profit,7,8,9,10,11,16,16,15,19,22,23,26,27
OPM %,4%,5%,5%,5%,5%,6%,7%,8%,6%,6%,6%,6%,6%
Other Income+,3,4,2,2,3,1,2,0,1,-1,1,1,1
Interest,8,7,7,7,6,7,7,7,8,9,9,10,11
Depreciation,4,3,3,3,4,4,5,5,3,3,3,3,4
Profit before tax,-3,1,1,1,4,6,5,3,9,9,11,13,13
Tax %,-59%,-38%,-62%,4%,15%,29%,31%,30%,29%,31%,32%,22%,
Net Profit+,-1,1,1,1,4,4,4,2,6,6,7,10,10
EPS in Rs,-0.13,0.18,0.11,0.17,0.46,0.50,0.46,0.27,0.77,0.75,0.93,1.24,1.24
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
