Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,68,87,96,116,123,154,174,175,247,205,269,312
Expenses+,61,79,88,99,103,125,149,129,184,171,208,203
Operating Profit,6,8,8,17,20,30,25,46,63,34,62,110
OPM %,9%,9%,8%,15%,16%,19%,14%,26%,25%,16%,23%,35%
Other Income+,3,2,2,2,1,2,121,5,15,19,21,36
Interest,30,13,16,11,11,14,16,10,4,4,8,17
Depreciation,7,5,7,7,7,10,11,13,12,11,10,21
Profit before tax,-28,-9,-13,0,2,7,120,27,62,37,64,108
Tax %,-2%,0%,0%,0%,0%,0%,25%,12%,29%,24%,29%,23%
Net Profit+,-27,-9,-13,0,2,7,89,24,44,28,45,83
EPS in Rs,-41.50,-13.26,-20.35,0.60,3.80,11.29,136.59,36.74,67.51,42.98,69.18,6.36
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
