Metric,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,103,98,63,67,66,62,57,59,52,2,0,0,0
Expenses+,80,73,47,62,57,60,51,55,71,20,9,10,25
Operating Profit,23,25,16,6,10,2,5,4,-18,-18,-9,-10,-25
OPM %,22%,25%,25%,8%,14%,3%,9%,7%,-35%,-898%,,,
Other Income+,3,1,1,8,1,9,6,7,30,43,37,42,221
Interest,11,12,8,6,5,6,7,5,3,11,17,18,17
Depreciation,12,14,7,5,4,4,4,4,4,3,3,4,4
Profit before tax,3,0,2,2,1,1,1,2,5,11,8,8,175
Tax %,8%,-208%,26%,-24%,-55%,53%,-6%,0%,12%,0%,8%,0%,
Net Profit+,3,1,1,3,2,0,1,2,5,9,-13,-30,123
EPS in Rs,0.36,0.10,0.18,0.37,0.23,0.04,0.10,0.25,0.63,1.20,-1.73,-4.06,16.68
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
