Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,215","1,227","1,267","1,240","1,292","1,351","1,290",787,"1,190","1,499","1,264","1,293","1,328"
Expenses+,"1,037","1,086","1,104","1,107","1,182","1,231","1,145",711,"1,072","1,301","1,163","1,191","1,225"
Operating Profit,179,141,163,134,110,120,144,76,118,197,101,101,102
OPM %,15%,12%,13%,11%,9%,9%,11%,10%,10%,13%,8%,8%,8%
Other Income+,4,17,11,13,18,11,13,20,20,16,20,18,18
Interest,81,81,70,63,59,56,49,33,25,32,30,40,42
Depreciation,54,63,61,58,58,55,51,46,42,41,43,48,50
Profit before tax,47,14,44,26,11,20,57,17,71,141,47,31,28
Tax %,45%,44%,38%,25%,26%,-24%,7%,15%,36%,20%,25%,29%,
Net Profit+,26,8,27,19,8,24,53,15,46,113,36,22,20
EPS in Rs,8.32,2.44,8.03,5.59,2.46,7.12,15.58,4.24,13.34,32.93,10.38,6.47,5.74
Dividend Payout %,18%,20%,12%,9%,20%,7%,5%,18%,9%,9%,10%,15%,
