Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,525,518,954,"1,100","1,244","1,705","1,818"
Expenses+,447,439,821,949,"1,063","1,433","1,518"
Operating Profit,78,80,133,151,181,271,300
OPM %,15%,15%,14%,14%,15%,16%,16%
Other Income+,4,19,16,18,48,39,38
Interest,34,30,40,45,51,68,72
Depreciation,27,30,39,45,59,81,95
Profit before tax,20,39,71,80,119,162,171
Tax %,14%,25%,26%,26%,25%,24%,
Net Profit+,17,29,52,59,90,122,128
EPS in Rs,5.34,8.97,16.18,18.36,27.99,32.48,33.97
Dividend Payout %,0%,0%,13%,15%,5%,5%,
