Metric,Mar 2009,Mar 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,323","1,105",42,109,229,287,701,538,629,839,"1,165","1,884","2,430"
Expenses+,"1,326","1,565",52,108,223,258,624,488,562,753,"1,016","1,624","2,088"
Operating Profit,-3,-460,-9,1,5,28,77,50,67,85,149,260,342
OPM %,-0%,-42%,-21%,1%,2%,10%,11%,9%,11%,10%,13%,14%,14%
Other Income+,9,-41,1,1,2,2,15,23,16,7,7,6,5
Interest,98,91,8,7,9,10,33,33,39,42,49,70,90
Depreciation,49,47,3,2,3,2,51,56,59,67,77,99,124
Profit before tax,-140,-639,-19,-7,-5,18,9,-15,-15,-17,31,98,133
Tax %,-33%,-35%,81%,-26%,-18%,47%,-1%,-16%,-21%,-24%,11%,27%,
Net Profit+,-94,-415,-35,-5,-4,10,9,-13,-12,-13,28,72,100
EPS in Rs,-42.19,-185.42,-15.55,-2.35,-1.93,4.13,2.57,-3.76,-3.40,-3.73,8.04,20.82,28.77
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
