Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"3,662","3,660","4,063","4,158","4,130","4,205","4,233","4,317","4,394","4,466","4,911","4,789","4,795"
Expenses+,"3,230","3,256","3,541","3,690","3,639","3,627","3,676","3,797","3,834","3,883","4,264","4,149","4,178"
Operating Profit,431,404,522,468,491,578,557,520,560,583,647,639,617
OPM %,12%,11%,13%,11%,12%,14%,13%,12%,13%,13%,13%,13%,13%
Other Income+,150,131,136,187,939,214,226,179,257,142,237,844,210
Interest,2,2,5,31,12,4,4,3,2,6,6,4,4
Depreciation,92,108,121,92,101,117,119,86,90,101,99,85,92
Profit before tax,487,425,533,532,"1,317",671,661,611,726,618,778,"1,394",730
Tax %,24%,25%,25%,23%,24%,23%,15%,24%,26%,26%,29%,20%,24%
Net Profit+,374,320,398,409,"1,000",518,564,466,537,459,554,"1,116",554
EPS in Rs,126.67,108.40,134.98,138.78,338.99,175.70,191.23,158.10,181.97,155.53,187.67,378.42,188.01
Raw PDF,,,,,,,,,,,,,
