Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,169,160,169,251,196,185,310,256,288,435,421,359,384
Expenses+,170,165,168,213,175,165,269,226,253,395,378,333,360
Operating Profit,-1,-5,2,38,21,20,41,30,36,40,43,26,25
OPM %,-1%,-3%,1%,15%,11%,11%,13%,12%,12%,9%,10%,7%,6%
Other Income+,8,11,12,-6,-9,2,5,6,7,15,18,12,13
Interest,7,5,6,5,2,3,3,1,0,0,0,0,0
Depreciation,3,6,6,6,6,6,7,7,6,8,9,10,11
Profit before tax,-3,-5,3,22,4,12,36,29,36,48,52,28,27
Tax %,70%,-33%,27%,28%,12%,30%,14%,10%,19%,19%,10%,31%,
Net Profit+,-5,-4,2,16,3,8,31,26,29,38,47,19,19
EPS in Rs,-5.56,-4.24,2.21,18.52,3.88,9.80,35.98,29.84,34.02,44.59,54.50,22.42,21.88
Dividend Payout %,-11%,0%,54%,14%,26%,20%,11%,17%,16%,15%,13%,13%,
