Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,451,492,625,679,685,895,911,985,"1,041","1,273","1,280",898,879
Expenses+,407,456,563,612,623,810,833,893,975,"1,212","1,245",880,872
Operating Profit,44,36,62,67,61,85,77,92,65,61,35,18,6
OPM %,10%,7%,10%,10%,9%,9%,8%,9%,6%,5%,3%,2%,1%
Other Income+,56,5,2,1,1,-4,5,3,3,6,12,17,16
Interest,1,1,1,1,1,1,2,3,3,2,2,3,3
Depreciation,1,1,1,1,1,1,2,3,7,7,7,5,5
Profit before tax,98,40,62,66,60,78,78,89,59,58,38,26,15
Tax %,18%,39%,38%,41%,34%,38%,36%,30%,34%,40%,48%,56%,
Net Profit+,81,24,38,39,39,48,50,62,39,35,20,12,-0
EPS in Rs,27.49,8.32,13.02,13.13,13.20,15.74,16.27,20.19,12.69,11.26,6.48,3.82,-0.15
Dividend Payout %,0%,0%,0%,0%,0%,5%,2%,0%,0%,0%,0%,0%,
