Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,93,118,154,118,131,135,141,85,146,144,200,88,118
Expenses+,81,95,134,96,107,112,116,77,126,118,168,79,99
Operating Profit,12,23,20,22,24,23,25,8,20,25,32,9,19
OPM %,13%,20%,13%,19%,18%,17%,17%,9%,14%,18%,16%,10%,16%
Other Income+,5,6,2,4,3,5,6,4,6,7,4,6,6
Interest,0,0,0,0,0,0,3,0,0,0,0,0,0
Depreciation,2,2,1,2,2,2,1,2,2,2,2,2,2
Profit before tax,15,27,21,25,25,25,26,10,24,30,35,12,23
Tax %,20%,17%,54%,31%,24%,29%,62%,-22%,2%,31%,28%,21%,30%
Net Profit+,12,23,10,17,19,18,10,12,24,21,25,10,16
EPS in Rs,1.40,2.64,1.17,2.03,2.24,2.10,1.16,1.38,2.78,2.42,2.93,1.15,1.92
Raw PDF,,,,,,,,,,,,,
