Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,779,837,"1,008","1,157","1,650","2,212","2,199","1,700","2,559","2,070","1,814","2,288","2,343"
Expenses+,710,752,868,"1,020","1,465","2,013","2,060","1,583","2,343","1,832","1,631","2,093","2,172"
Operating Profit,69,85,140,138,184,199,139,116,216,238,183,195,171
OPM %,9%,10%,14%,12%,11%,9%,6%,7%,8%,12%,10%,9%,7%
Other Income+,4,7,1,28,8,7,7,25,6,1,2,3,5
Interest,23,25,43,36,54,74,61,49,46,52,49,59,55
Depreciation,18,32,47,49,53,88,45,29,30,34,34,34,26
Profit before tax,32,35,51,81,85,44,39,62,146,154,102,104,95
Tax %,21%,24%,21%,18%,31%,30%,28%,29%,25%,25%,26%,27%,
Net Profit+,25,27,40,66,59,31,28,44,109,116,76,76,70
EPS in Rs,0.25,0.27,0.40,0.66,0.58,0.30,0.28,0.44,1.09,1.15,0.75,0.76,0.69
Dividend Payout %,4%,4%,2%,2%,2%,3%,4%,7%,2%,3%,5%,0%,
