Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,770,735,666,585,592,692,750,764,801,"1,165",946,"1,142","1,234"
Expenses+,584,561,536,469,457,525,611,798,683,"1,184",744,"1,002","1,059"
Operating Profit,186,174,130,116,135,167,139,-34,118,-19,202,140,174
OPM %,24%,24%,19%,20%,23%,24%,19%,-4%,15%,-2%,21%,12%,14%
Other Income+,2,10,26,14,20,7,6,3,19,3,3,24,40
Interest,12,26,18,18,20,18,14,20,12,29,28,38,78
Depreciation,138,92,93,100,113,113,117,119,120,150,141,152,154
Profit before tax,39,65,45,12,22,43,13,-170,5,-195,35,-26,-18
Tax %,3%,4%,7%,40%,21%,12%,59%,1%,25%,1%,5%,5%,
Net Profit+,38,62,42,7,17,38,6,-172,4,-196,33,-27,-19
EPS in Rs,13.41,22.29,14.97,2.65,6.12,13.58,1.97,-61.52,1.28,-70.07,11.85,-9.81,-6.92
Dividend Payout %,22%,13%,20%,0%,33%,22%,0%,0%,0%,0%,0%,0%,
