Metric,Sep 201318m,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,948","1,747",873,797,683,600,484,450,560,666,819,922,850
Expenses+,"1,837","1,429",703,794,659,612,515,421,505,581,708,804,752
Operating Profit,110,317,171,3,24,-12,-31,29,55,84,111,118,99
OPM %,6%,18%,20%,0%,4%,-2%,-6%,7%,10%,13%,14%,13%,12%
Other Income+,92,156,-28,-59,20,218,24,15,67,52,31,27,31
Interest,523,537,294,347,310,7,6,52,33,33,17,15,14
Depreciation,252,325,145,141,133,130,118,109,87,55,33,35,35
Profit before tax,-573,-389,-296,-544,-399,69,-131,-117,2,48,92,96,81
Tax %,-2%,-49%,-6%,-9%,-12%,0%,0%,0%,0%,0%,-3%,-0%,
Net Profit+,-560,-197,-279,-495,-353,69,-131,-117,-2,46,92,100,85
EPS in Rs,-79.21,-23.06,-31.37,-55.69,-39.65,7.80,-32.11,-28.55,-0.48,11.35,18.17,19.65,16.80
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
