Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,312.94,272.56,301.55,254.12,278.45,284.83,305.53,336.55,386.81,397.80,344.38,337.12,363.38
Expenses+,278.01,240.51,267.84,228.62,253.13,244.86,258.47,288.86,331.53,341.29,293.32,300.84,341.07
Operating Profit,34.93,32.05,33.71,25.50,25.32,39.97,47.06,47.69,55.28,56.51,51.06,36.28,22.31
OPM %,11.16%,11.76%,11.18%,10.03%,9.09%,14.03%,15.40%,14.17%,14.29%,14.21%,14.83%,10.76%,6.14%
Other Income+,1.80,7.16,3.51,2.94,3.23,4.00,4.46,4.25,3.73,5.23,4.73,3.38,5.31
Interest,3.47,4.12,6.61,11.39,11.63,12.76,9.12,8.35,9.56,10.53,9.65,9.84,11.29
Depreciation,6.68,6.84,8.93,12.21,12.44,12.23,11.80,13.44,13.52,14.29,13.73,15.50,15.74
Profit before tax,26.58,28.25,21.68,4.84,4.48,18.98,30.60,30.15,35.93,36.92,32.41,14.32,0.59
Tax %,25.92%,25.27%,29.11%,28.93%,37.50%,32.93%,29.41%,25.21%,24.55%,19.56%,26.69%,24.86%,186.44%
Net Profit+,19.70,21.11,15.38,3.45,2.80,12.73,21.60,22.55,27.11,29.71,23.76,10.75,-0.50
EPS in Rs,9.02,9.67,7.05,1.58,1.28,5.83,8.52,8.90,10.70,11.72,9.33,4.22,-0.19
Raw PDF,,,,,,,,,,,,,
