Metric,Dec 2013,Dec 2014,Mar 201615m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,546","1,564","1,730","1,512","1,665","1,912","1,746","1,792","2,436","2,928","2,552","2,608","2,487"
Expenses+,"1,407","1,408","1,534","1,312","1,463","1,747","1,610","1,575","2,264","2,721","2,381","2,491","2,391"
Operating Profit,139,156,196,200,202,164,136,217,172,207,171,117,96
OPM %,9%,10%,11%,13%,12%,9%,8%,12%,7%,7%,7%,4%,4%
Other Income+,30,29,38,33,37,38,35,23,23,16,17,18,18
Interest,2,3,3,3,3,3,4,3,4,4,4,5,5
Depreciation,25,29,46,34,36,41,50,53,53,54,55,55,52
Profit before tax,142,154,184,196,199,158,117,183,138,165,128,75,57
Tax %,34%,34%,35%,35%,35%,35%,24%,26%,26%,26%,26%,26%,
Net Profit+,94,101,120,127,130,102,89,136,103,123,95,55,42
EPS in Rs,40.78,43.89,51.92,55.22,56.34,44.25,38.51,59.07,44.61,53.26,41.12,23.90,18.01
Dividend Payout %,22%,23%,23%,23%,23%,29%,34%,301%,224%,50%,100%,100%,
