Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,358","4,193","5,165","7,859","13,341","11,575","13,820","18,975"
Expenses+,"3,906","3,726","4,616","7,175","12,525","10,903","12,549","17,054"
Operating Profit,452,467,549,684,816,672,"1,271","1,920"
OPM %,10%,11%,11%,9%,6%,6%,9%,10%
Other Income+,29,27,12,27,76,45,96,153
Interest,159,192,111,86,291,366,362,434
Depreciation,70,72,83,90,175,211,252,304
Profit before tax,251,230,366,535,426,141,752,"1,336"
Tax %,37%,16%,39%,26%,29%,29%,27%,
Net Profit+,159,193,223,398,304,100,552,977
EPS in Rs,276.24,335.77,387.99,6.92,3.73,1.23,6.77,11.98
Dividend Payout %,36%,0%,0%,0%,13%,41%,15%,
