Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Revenue+,"22,424","24,834","27,196","28,003","29,263","30,042","31,072","31,143","31,902","32,570","32,820","32,866","33,318"
Interest,"11,495","13,161","14,790","16,060","17,528","18,002","18,309","18,582","19,266","20,143","20,273","20,307","20,191"
Expenses+,"10,408","11,012","10,642","11,040","12,216","10,556","12,269","10,879","12,755","10,654","12,712","12,928","11,548"
Financing Profit,522,660,"1,764",902,-480,"1,484",494,"1,682",-119,"1,772",-165,-368,"1,579"
Financing Margin %,2%,3%,6%,3%,-2%,5%,2%,5%,-0%,5%,-0%,-1%,5%
Other Income+,"3,896","5,519","5,332","5,316","6,503","5,042","6,538","4,658","7,553","5,163","7,076","5,538","5,116"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"4,418","6,179","7,096","6,217","6,023","6,526","7,033","6,340","7,434","6,935","6,911","5,170","6,695"
Tax %,26%,33%,28%,31%,28%,27%,29%,28%,27%,26%,23%,35%,24%
Net Profit+,"3,392","4,356","5,315","4,468","4,426","4,815","5,160","4,764","5,405","5,250","5,447","3,517","5,181"
EPS in Rs,6.58,8.33,10.16,8.61,8.50,9.26,9.92,9.14,10.36,10.08,10.48,6.71,9.93
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
