Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,133,136,157,240,173,172,137,233,313,544,588,593
Expenses+,123,125,146,218,156,158,114,198,272,474,499,497
Operating Profit,9,11,11,22,17,14,23,35,41,70,89,96
OPM %,7%,8%,7%,9%,10%,8%,17%,15%,13%,13%,15%,16%
Other Income+,1,1,5,3,3,3,7,2,2,2,0,0
Interest,6,9,5,4,5,3,0,1,1,2,3,3
Depreciation,0,0,0,0,0,0,0,0,2,2,2,2
Profit before tax,4,3,11,20,15,14,30,36,40,67,84,91
Tax %,29%,0%,12%,41%,45%,8%,24%,26%,26%,26%,29%,
Net Profit+,3,3,9,12,8,13,23,27,30,50,60,63
EPS in Rs,,,0.78,1.00,0.71,1.09,1.92,2.29,2.52,4.20,5.09,5.31
Dividend Payout %,0%,0%,0%,0%,14%,0%,0%,0%,8%,5%,0%,
