Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,864,958,"1,125",900,913,965,"1,224","1,031","1,036","1,144","1,281",979,"1,028"
Expenses+,801,808,980,790,818,841,"1,033",919,894,978,"1,092",867,919
Operating Profit,63,149,145,110,95,124,191,112,142,166,190,112,108
OPM %,7%,16%,13%,12%,10%,13%,16%,11%,14%,14%,15%,11%,11%
Other Income+,4,-0,13,10,2,16,36,15,14,11,24,16,18
Interest,8,12,8,8,6,5,8,6,6,8,6,6,6
Depreciation,17,18,18,18,19,21,21,21,22,22,24,23,24
Profit before tax,42,119,132,95,72,114,199,100,129,146,184,98,96
Tax %,29%,25%,31%,30%,34%,27%,28%,29%,26%,22%,33%,28%,30%
Net Profit+,31,89,101,64,51,82,153,66,97,118,138,68,72
EPS in Rs,3.87,11.17,12.62,8.02,6.35,10.31,19.17,8.20,12.05,14.76,17.27,8.40,8.94
Raw PDF,,,,,,,,,,,,,
