Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,167,189,198,224,244,261,272,240,307,441,472,491,523
Expenses+,158,177,184,212,233,239,248,223,286,412,420,447,461
Operating Profit,9,13,14,11,11,22,23,17,22,29,52,45,62
OPM %,5%,7%,7%,5%,5%,9%,9%,7%,7%,7%,11%,9%,12%
Other Income+,1,1,2,3,5,1,1,5,21,3,7,7,7
Interest,3,3,4,3,3,3,3,2,1,2,1,2,3
Depreciation,4,5,4,4,5,6,11,10,10,13,13,13,14
Profit before tax,3,5,8,7,8,15,10,10,32,18,45,36,53
Tax %,97%,37%,61%,38%,11%,33%,35%,25%,26%,36%,25%,25%,
Net Profit+,0,3,3,4,7,10,6,7,24,11,34,27,41
EPS in Rs,0.06,2.00,2.14,2.70,4.32,6.41,3.89,4.49,10.75,5.15,15.06,11.94,18.10
Dividend Payout %,0%,0%,47%,37%,23%,23%,39%,67%,28%,58%,33%,42%,
