Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,170,169,175,164,139,213,159,158,169,145
Expenses+,0,148,153,156,152,119,183,161,155,167,142
Operating Profit,0,21,16,20,12,20,30,-2,3,2,3
OPM %,,13%,10%,11%,7%,15%,14%,-1%,2%,1%,2%
Other Income+,0,0,1,1,0,0,1,1,1,2,1
Interest,0,6,6,8,6,3,1,1,1,1,1
Depreciation,0,5,5,5,5,6,6,6,7,7,7
Profit before tax,0,10,6,8,2,12,24,-7,-4,-4,-3
Tax %,,57%,35%,13%,24%,30%,28%,-4%,-17%,-10%,
Net Profit+,0,4,4,7,1,9,18,-7,-3,-4,-3
EPS in Rs,,,4.48,7.64,1.32,9.89,20.44,-8.29,-3.76,-4.41,-3.50
Dividend Payout %,,0%,31%,18%,0%,10%,6%,0%,0%,0%,
