Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"20,403","19,954","9,483","12,714","8,116","5,025","2,973","3,346","6,582","5,971","6,529","10,890","13,767"
Expenses+,"20,465","25,703","9,767","10,235","7,140","5,048","3,829","2,809","5,682","5,137","5,492","9,026","11,254"
Operating Profit,-62,"-5,749",-283,"2,479",977,-23,-856,537,900,833,"1,037","1,863","2,513"
OPM %,-0%,-29%,-3%,20%,12%,-0%,-29%,16%,14%,14%,16%,17%,18%
Other Income+,-495,-194,"2,563",109,555,92,-42,823,95,"2,739",-24,97,123
Interest,"2,070","2,065","1,304","1,288","1,581","1,270","1,367",996,735,421,164,255,367
Depreciation,777,809,392,389,342,342,419,258,260,260,190,259,304
Profit before tax,"-3,404","-8,816",584,912,-391,"-1,543","-2,684",105,0,"2,892",659,"1,447","1,964"
Tax %,4%,4%,-4%,1%,-0%,-1%,0%,4%,"41,648%",0%,-0%,-43%,
Net Profit+,"-3,548","-9,133",583,852,-384,"-1,537","-2,692",104,-177,"2,887",660,"2,072","3,172"
EPS in Rs,-11.43,-19.95,0.94,1.38,-0.57,-2.32,-4.01,0.10,-0.17,2.28,0.49,1.53,2.34
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
