Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,58,61,66,69,71,73,80,73,78,91,83,92,85
Expenses+,43,45,54,51,51,54,61,51,51,63,68,61,52
Operating Profit,15,16,12,17,20,19,19,22,27,29,16,30,34
OPM %,26%,26%,19%,25%,29%,26%,23%,30%,34%,31%,19%,33%,39%
Other Income+,1,2,2,1,2,2,4,2,2,3,6,2,2
Interest,1,1,1,1,1,2,3,3,3,3,4,3,4
Depreciation,1,2,2,2,3,2,6,3,5,5,5,5,5
Profit before tax,14,15,12,16,18,18,14,18,21,23,12,24,27
Tax %,17%,17%,-13%,18%,18%,17%,33%,18%,17%,17%,-27%,18%,17%
Net Profit+,12,12,13,13,14,15,9,14,17,19,16,20,22
EPS in Rs,0.95,1.00,1.09,1.09,1.19,1.22,0.76,1.18,1.43,1.56,1.29,1.64,1.80
Raw PDF,,,,,,,,,,,,,
