Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,160","1,327","1,778","1,905","2,056","2,292","2,832","4,814","4,936","6,041","5,041","5,554","6,358"
Expenses+,951,"1,126","1,415","1,497","1,642","1,935","2,266","3,262","3,512","4,448","4,261","4,499","4,867"
Operating Profit,208,200,362,408,414,357,565,"1,552","1,424","1,592",779,"1,055","1,491"
OPM %,18%,15%,20%,21%,20%,16%,20%,32%,29%,26%,15%,19%,23%
Other Income+,9,34,4,32,29,15,5,23,14,6,24,75,105
Interest,64,106,111,100,80,88,90,68,102,165,183,216,206
Depreciation,33,62,86,106,125,164,187,205,251,324,385,430,454
Profit before tax,121,67,169,234,237,120,294,"1,301","1,084","1,109",236,484,937
Tax %,20%,-2%,21%,19%,29%,22%,13%,24%,23%,28%,29%,27%,
Net Profit+,97,68,134,190,168,94,255,984,832,793,162,358,682
EPS in Rs,12.64,8.81,16.97,3.60,3.16,1.76,4.77,18.33,15.40,14.67,2.98,6.64,12.67
Dividend Payout %,0%,0%,2%,8%,9%,17%,10%,11%,13%,14%,27%,18%,
