Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,829,872,926,"1,014","1,296","1,590","1,507","1,720","1,943","2,023","1,785","1,860","1,833"
Expenses+,642,689,745,813,"1,054","1,291","1,234","1,398","1,602","1,765","1,518","1,531","1,538"
Operating Profit,187,182,181,201,242,298,273,323,341,258,267,328,296
OPM %,23%,21%,20%,20%,19%,19%,18%,19%,18%,13%,15%,18%,16%
Other Income+,34,2,2,-3,4,2,-12,5,5,5,2,5,6
Interest,68,60,62,48,49,58,52,36,31,48,56,75,72
Depreciation,55,64,67,69,86,93,82,85,96,109,118,134,142
Profit before tax,98,60,53,80,112,149,127,206,219,105,96,124,86
Tax %,35%,32%,23%,16%,31%,31%,33%,36%,27%,26%,27%,27%,
Net Profit+,64,40,41,68,77,103,84,133,160,78,70,91,63
EPS in Rs,5.17,3.28,3.34,5.49,6.26,8.36,6.85,10.80,13.02,6.36,5.64,7.36,5.12
Dividend Payout %,12%,20%,20%,15%,13%,14%,18%,19%,12%,19%,21%,11%,
