Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,151","2,087","2,154","2,101","1,235","1,873","1,837","1,601","1,750","1,707","1,705","1,719","2,294"
Expenses+,"1,982","1,871","1,952","1,905","1,027","1,662","1,530","1,369","1,526","1,474","1,296","1,479","2,003"
Operating Profit,169,216,203,196,208,212,307,232,224,233,409,240,291
OPM %,8%,10%,9%,9%,17%,11%,17%,15%,13%,14%,24%,14%,13%
Other Income+,18,19,64,37,44,45,63,44,39,60,65,63,96
Interest,25,27,25,30,27,30,29,31,30,51,52,33,24
Depreciation,33,34,29,33,34,34,33,37,37,37,41,42,52
Profit before tax,128,174,212,170,192,192,307,208,196,204,381,228,310
Tax %,21%,18%,25%,22%,22%,21%,23%,24%,22%,22%,17%,23%,21%
Net Profit+,101,143,159,133,150,152,237,158,152,160,318,175,244
EPS in Rs,2.66,3.57,4.01,3.30,3.62,3.71,5.59,3.75,3.59,3.54,8.02,3.74,5.12
Raw PDF,,,,,,,,,,,,,
