Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0.00,0.00,23.71,48.30,51.98,25.09,30.84,59.62,54.60,47.12,46.25,44.51
Expenses+,0.00,0.00,21.78,44.40,48.08,22.09,26.32,55.13,50.36,46.73,48.24,45.57
Operating Profit,0.00,0.00,1.93,3.90,3.90,3.00,4.52,4.49,4.24,0.39,-1.99,-1.06
OPM %,,,8.14%,8.07%,7.50%,11.96%,14.66%,7.53%,7.77%,0.83%,-4.30%,-2.38%
Other Income+,0.00,0.00,0.00,0.01,0.01,0.51,0.05,0.36,0.06,0.01,0.01,0.01
Interest,0.00,0.00,1.09,1.88,2.07,2.42,2.15,2.07,2.13,2.18,1.70,1.69
Depreciation,0.00,0.00,0.11,0.62,0.87,0.98,1.05,0.97,0.99,1.08,1.18,1.19
Profit before tax,0.00,0.00,0.73,1.41,0.97,0.11,1.37,1.81,1.18,-2.86,-4.86,-3.93
Tax %,,,30.14%,29.08%,9.28%,81.82%,3.65%,6.08%,22.88%,-25.87%,-25.10%,
Net Profit+,0.00,0.00,0.51,1.00,0.88,0.03,1.32,1.70,0.91,-2.12,-3.64,-2.92
EPS in Rs,,,0.31,0.61,0.39,0.01,0.59,0.76,0.41,-1.19,-2.04,-1.64
Dividend Payout %,,,0.00%,0.00%,0.00%,0.00%,0.00%,9.82%,18.35%,0.00%,0.00%,
