Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,824.44,777.48,891.64,892.34,898.76,995.59,973.96,959.48,"1,053.63","1,073.78",947.21,"1,015.26",907.53
Expenses+,649.06,604.49,697.63,700.36,698.81,775.99,786.30,790.83,888.27,947.54,848.98,873.31,789.83
Operating Profit,175.38,172.99,194.01,191.98,199.95,219.60,187.66,168.65,165.36,126.24,98.23,141.95,117.70
OPM %,21.27%,22.25%,21.76%,21.51%,22.25%,22.06%,19.27%,17.58%,15.69%,11.76%,10.37%,13.98%,12.97%
Other Income+,0.80,0.74,1.79,4.66,7.12,3.78,18.63,10.67,84.10,3.64,11.46,3.63,5.75
Interest,28.99,31.20,33.55,35.86,37.51,39.26,34.25,36.50,38.54,42.18,48.64,48.59,53.34
Depreciation,49.69,49.02,55.80,57.15,60.81,67.54,71.80,62.38,60.36,63.85,84.70,79.67,80.38
Profit before tax,97.50,93.51,106.45,103.63,108.75,116.58,100.24,80.44,150.56,23.85,-23.65,17.32,-10.27
Tax %,31.05%,34.72%,35.70%,24.23%,24.41%,25.49%,34.04%,31.96%,7.28%,12.37%,-944.95%,31.93%,-7.50%
Net Profit+,67.23,61.04,68.45,78.53,82.20,86.86,66.11,54.73,139.60,20.90,199.83,11.79,-9.50
EPS in Rs,4.20,3.81,4.28,4.91,5.00,4.80,3.66,3.03,7.72,1.16,11.04,0.65,-0.52
Raw PDF,,,,,,,,,,,,,
