Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,614,573,510,530,574,512,741,671,699,728,695,693,773
Expenses+,525,505,444,471,513,456,664,605,641,665,636,638,705
Operating Profit,89,68,66,58,61,56,77,66,58,63,59,55,69
OPM %,14%,12%,13%,11%,11%,11%,10%,10%,8%,9%,9%,8%,9%
Other Income+,1,1,3,5,4,2,5,2,3,4,4,4,3
Interest,3,3,4,4,4,4,5,4,6,4,5,3,3
Depreciation,2,2,2,2,2,2,3,3,3,4,3,3,3
Profit before tax,85,64,63,57,58,52,74,61,53,59,55,53,65
Tax %,21%,21%,19%,19%,20%,20%,17%,18%,16%,18%,20%,19%,18%
Net Profit+,67,50,51,46,47,41,61,50,44,48,44,43,53
EPS in Rs,11.15,8.29,8.40,7.59,7.76,6.84,10.08,8.29,7.29,8.02,7.32,7.05,8.76
Raw PDF,,,,,,,,,,,,,
