Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales+,17.14,26.89,31.71,31.47,19.44,18.98,32.62,40.30,34.70,41.88,25.28,31.66
Expenses+,6.71,10.26,14.92,17.87,13.34,12.28,19.39,28.39,28.46,28.90,26.54,23.41
Operating Profit,10.43,16.63,16.79,13.60,6.10,6.70,13.23,11.91,6.24,12.98,-1.26,8.25
OPM %,60.85%,61.84%,52.95%,43.22%,31.38%,35.30%,40.56%,29.55%,17.98%,30.99%,-4.98%,26.06%
Other Income+,2.27,3.13,1.23,2.14,2.80,5.84,1.10,0.38,-3.72,1.18,0.49,0.95
Interest,4.38,9.58,12.05,11.75,12.21,12.50,11.54,7.85,6.86,7.38,7.18,4.85
Depreciation,7.81,8.01,9.27,9.55,6.51,6.58,6.50,6.26,6.17,6.62,6.32,6.10
Profit before tax,0.51,2.17,-3.30,-5.56,-9.82,-6.54,-3.71,-1.82,-10.51,0.16,-14.27,-1.75
Tax %,-1.96%,80.18%,-26.97%,-26.26%,-33.40%,16.67%,-43.13%,105.49%,9.61%,6.25%,-7.01%,-7.43%
Net Profit+,0.52,0.43,-2.42,-4.10,-6.51,-7.59,-2.10,-3.71,-11.52,0.16,-13.27,-1.62
EPS in Rs,0.50,0.32,-0.86,-1.18,-4.03,-3.93,-0.07,-2.11,-8.63,-0.24,-11.47,-1.40
Dividend Payout %,0.00%,156.22%,-57.85%,-84.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
