Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,260,284,254,212,210,262,273,289
Expenses+,240,247,228,218,224,257,259,266
Operating Profit,20,37,26,-6,-13,5,14,23
OPM %,8%,13%,10%,-3%,-6%,2%,5%,8%
Other Income+,1,1,3,0,3,3,2,3
Interest,1,2,1,2,2,3,2,3
Depreciation,3,4,3,3,3,3,3,3
Profit before tax,17,32,25,-11,-16,2,11,20
Tax %,33%,28%,24%,-25%,-23%,31%,33%,
Net Profit+,11,23,19,-8,-12,2,7,14
EPS in Rs,4.07,8.29,6.81,-2.84,-4.41,0.60,2.58,5.01
Dividend Payout %,25%,14%,18%,0%,0%,0%,0%,
